Source Indicator ID,Source Name,Indicator Category,Indicator Name,Indicator Description,Year,Location,Value,Unit,Desired Direction
S2401_C01_003E,American Community Survey,Income,"Management, business, and financial occupations",,2011,US,20356415,people,high
S2401_C01_003E,American Community Survey,Income,"Management, business, and financial occupations",,2012,Bullhead City,1414,people,high
S2401_C01_003E,American Community Survey,Income,"Management, business, and financial occupations",,2012,AZ,390667,people,high
S2401_C01_003E,American Community Survey,Income,"Management, business, and financial occupations",,2012,US,20391092,people,high
S2401_C01_003E,American Community Survey,Income,"Management, business, and financial occupations",,2013,Bullhead City,1216,people,high
S2401_C01_003E,American Community Survey,Income,"Management, business, and financial occupations",,2013,AZ,386341,people,high
S2401_C01_003E,American Community Survey,Income,"Management, business, and financial occupations",,2013,US,20507708,people,high
S2401_C01_003E,American Community Survey,Income,"Management, business, and financial occupations",,2014,Bullhead City,1346,people,high
S2401_C01_003E,American Community Survey,Income,"Management, business, and financial occupations",,2014,AZ,393145,people,high
S2401_C01_003E,American Community Survey,Income,"Management, business, and financial occupations",,2014,US,20849843,people,high
S2401_C01_003E,American Community Survey,Income,"Management, business, and financial occupations",,2015,Bullhead City,1341,people,high
S2401_C01_003E,American Community Survey,Income,"Management, business, and financial occupations",,2015,AZ,401958,people,high
S2401_C01_003E,American Community Survey,Income,"Management, business, and financial occupations",,2015,US,21396780,people,high
S2401_C01_003E,American Community Survey,Income,"Management, business, and financial occupations",,2016,Bullhead City,1310,people,high
S2401_C01_003E,American Community Survey,Income,"Management, business, and financial occupations",,2016,AZ,414794,people,high
S2401_C01_003E,American Community Survey,Income,"Management, business, and financial occupations",,2016,US,21990616,people,high
S2401_C01_003E,American Community Survey,Income,"Management, business, and financial occupations",,2017,Bullhead City,1154,people,high
S2401_C01_003E,American Community Survey,Income,"Management, business, and financial occupations",,2017,AZ,432957,people,high
S2401_C01_003E,American Community Survey,Income,"Management, business, and financial occupations",,2017,US,22745247,people,high
S2401_C01_003E,American Community Survey,Income,"Management, business, and financial occupations",,2018,Bullhead City,1461,people,high
S2401_C01_003E,American Community Survey,Income,"Management, business, and financial occupations",,2018,AZ,450344,people,high
S2401_C01_003E,American Community Survey,Income,"Management, business, and financial occupations",,2018,US,23383049,people,high
S2401_C01_004E,American Community Survey,Income,Management occupations,,2010,Bullhead City,929,people,high
S2401_C01_004E,American Community Survey,Income,Management occupations,,2010,AZ,267121,people,high
S2401_C01_004E,American Community Survey,Income,Management occupations,,2010,US,13678900,people,high
S2401_C01_004E,American Community Survey,Income,Management occupations,,2011,Bullhead City,922,people,high
S2401_C01_004E,American Community Survey,Income,Management occupations,,2011,AZ,262772,people,high
S2401_C01_004E,American Community Survey,Income,Management occupations,,2011,US,13712348,people,high
S2401_C01_004E,American Community Survey,Income,Management occupations,,2012,Bullhead City,1053,people,high
S2401_C01_004E,American Community Survey,Income,Management occupations,,2012,AZ,260005,people,high
S2401_C01_004E,American Community Survey,Income,Management occupations,,2012,US,13708597,people,high
S2401_C01_004E,American Community Survey,Income,Management occupations,,2013,Bullhead City,923,people,high
S2401_C01_004E,American Community Survey,Income,Management occupations,,2013,AZ,256570,people,high
S2401_C01_004E,American Community Survey,Income,Management occupations,,2013,US,13767620,people,high
S2401_C01_004E,American Community Survey,Income,Management occupations,,2014,Bullhead City,1041,people,high
S2401_C01_004E,American Community Survey,Income,Management occupations,,2014,AZ,259904,people,high
S2401_C01_004E,American Community Survey,Income,Management occupations,,2014,US,13996812,people,high
S2401_C01_004E,American Community Survey,Income,Management occupations,,2015,Bullhead City,1055,people,high
S2401_C01_004E,American Community Survey,Income,Management occupations,,2015,AZ,264864,people,high
S2401_C01_004E,American Community Survey,Income,Management occupations,,2015,US,14401271,people,high
S2401_C01_004E,American Community Survey,Income,Management occupations,,2016,Bullhead City,987,people,high
S2401_C01_004E,American Community Survey,Income,Management occupations,,2016,AZ,274289,people,high
S2401_C01_004E,American Community Survey,Income,Management occupations,,2016,US,14852828,people,high
S2401_C01_004E,American Community Survey,Income,Management occupations,,2017,Bullhead City,900,people,high
S2401_C01_004E,American Community Survey,Income,Management occupations,,2017,AZ,287108,people,high
S2401_C01_004E,American Community Survey,Income,Management occupations,,2017,US,15414863,people,high
S2401_C01_004E,American Community Survey,Income,Management occupations,,2018,Bullhead City,1161,people,high
S2401_C01_004E,American Community Survey,Income,Management occupations,,2018,AZ,286341,people,high
S2401_C01_004E,American Community Survey,Income,Management occupations,,2018,US,15263898,people,high
S2401_C01_005E,American Community Survey,Income,Business and financial operations occupations,,2010,Bullhead City,454,people,high
S2401_C01_005E,American Community Survey,Income,Business and financial operations occupations,,2010,AZ,127865,people,high
S2401_C01_005E,American Community Survey,Income,Business and financial operations occupations,,2010,US,6560387,people,high
S2401_C01_005E,American Community Survey,Income,Business and financial operations occupations,,2011,Bullhead City,406,people,high
S2401_C01_005E,American Community Survey,Income,Business and financial operations occupations,,2011,AZ,128958,people,high
S2401_C01_005E,American Community Survey,Income,Business and financial operations occupations,,2011,US,6644067,people,high
S2401_C01_005E,American Community Survey,Income,Business and financial operations occupations,,2012,Bullhead City,361,people,high
S2401_C01_005E,American Community Survey,Income,Business and financial operations occupations,,2012,AZ,130662,people,high
S2401_C01_005E,American Community Survey,Income,Business and financial operations occupations,,2012,US,6682495,people,high
S2401_C01_005E,American Community Survey,Income,Business and financial operations occupations,,2013,Bullhead City,293,people,high
S2401_C01_005E,American Community Survey,Income,Business and financial operations occupations,,2013,AZ,129771,people,high
S2401_C01_005E,American Community Survey,Income,Business and financial operations occupations,,2013,US,6740088,people,high
S2401_C01_005E,American Community Survey,Income,Business and financial operations occupations,,2014,Bullhead City,305,people,high
S2401_C01_005E,American Community Survey,Income,Business and financial operations occupations,,2014,AZ,133241,people,high
S2401_C01_005E,American Community Survey,Income,Business and financial operations occupations,,2014,US,6853031,people,high
S2401_C01_005E,American Community Survey,Income,Business and financial operations occupations,,2015,Bullhead City,286,people,high
S2401_C01_005E,American Community Survey,Income,Business and financial operations occupations,,2015,AZ,137094,people,high
S2401_C01_005E,American Community Survey,Income,Business and financial operations occupations,,2015,US,6995509,people,high
S2401_C01_005E,American Community Survey,Income,Business and financial operations occupations,,2016,Bullhead City,323,people,high
S2401_C01_005E,American Community Survey,Income,Business and financial operations occupations,,2016,AZ,140505,people,high
S2401_C01_005E,American Community Survey,Income,Business and financial operations occupations,,2016,US,7137788,people,high
S2401_C01_005E,American Community Survey,Income,Business and financial operations occupations,,2017,Bullhead City,254,people,high
S2401_C01_005E,American Community Survey,Income,Business and financial operations occupations,,2017,AZ,145849,people,high
S2401_C01_005E,American Community Survey,Income,Business and financial operations occupations,,2017,US,7330384,people,high
S2401_C01_005E,American Community Survey,Income,Business and financial operations occupations,,2018,Bullhead City,300,people,high
S2401_C01_005E,American Community Survey,Income,Business and financial operations occupations,,2018,AZ,164003,people,high
S2401_C01_005E,American Community Survey,Income,Business and financial operations occupations,,2018,US,8119151,people,high
S2401_C01_006E,American Community Survey,Income,"Computer, engineering, and science occupations",,2010,Bullhead City,235,people,high
S2401_C01_006E,American Community Survey,Income,"Computer, engineering, and science occupations",,2010,AZ,145705,people,high
S2401_C01_006E,American Community Survey,Income,"Computer, engineering, and science occupations",,2010,US,7329905,people,high
S2401_C01_006E,American Community Survey,Income,"Computer, engineering, and science occupations",,2011,Bullhead City,310,people,high
S2401_C01_006E,American Community Survey,Income,"Computer, engineering, and science occupations",,2011,AZ,146522,people,high
S2401_C01_006E,American Community Survey,Income,"Computer, engineering, and science occupations",,2011,US,7383969,people,high
S2401_C01_006E,American Community Survey,Income,"Computer, engineering, and science occupations",,2012,Bullhead City,283,people,high
S2401_C01_006E,American Community Survey,Income,"Computer, engineering, and science occupations",,2012,AZ,148641,people,high
S2401_C01_006E,American Community Survey,Income,"Computer, engineering, and science occupations",,2012,US,7444293,people,high
S2401_C01_006E,American Community Survey,Income,"Computer, engineering, and science occupations",,2013,Bullhead City,287,people,high
S2401_C01_006E,American Community Survey,Income,"Computer, engineering, and science occupations",,2013,AZ,150523,people,high
S2401_C01_006E,American Community Survey,Income,"Computer, engineering, and science occupations",,2013,US,7499737,people,high
S2401_C01_006E,American Community Survey,Income,"Computer, engineering, and science occupations",,2014,Bullhead City,270,people,high
S2401_C01_006E,American Community Survey,Income,"Computer, engineering, and science occupations",,2014,AZ,150752,people,high
S2401_C01_006E,American Community Survey,Income,"Computer, engineering, and science occupations",,2014,US,7660461,people,high
S2401_C01_006E,American Community Survey,Income,"Computer, engineering, and science occupations",,2015,Bullhead City,240,people,high
S2401_C01_006E,American Community Survey,Income,"Computer, engineering, and science occupations",,2015,AZ,152063,people,high
S2401_C01_006E,American Community Survey,Income,"Computer, engineering, and science occupations",,2015,US,7891250,people,high
S2401_C01_006E,American Community Survey,Income,"Computer, engineering, and science occupations",,2016,Bullhead City,210,people,high
S2401_C01_006E,American Community Survey,Income,"Computer, engineering, and science occupations",,2016,AZ,155350,people,high
S2401_C01_006E,American Community Survey,Income,"Computer, engineering, and science occupations",,2016,US,8133920,people,high
S2401_C01_006E,American Community Survey,Income,"Computer, engineering, and science occupations",,2017,Bullhead City,215,people,high
S2401_C01_006E,American Community Survey,Income,"Computer, engineering, and science occupations",,2017,AZ,159474,people,high
S2401_C01_006E,American Community Survey,Income,"Computer, engineering, and science occupations",,2017,US,8427417,people,high
S2401_C01_006E,American Community Survey,Income,"Computer, engineering, and science occupations",,2018,Bullhead City,172,people,high
S2401_C01_006E,American Community Survey,Income,"Computer, engineering, and science occupations",,2018,AZ,169569,people,high
S2401_C01_006E,American Community Survey,Income,"Computer, engineering, and science occupations",,2018,US,8872203,people,high
S2401_C01_007E,American Community Survey,Income,Computer and mathematical occupations,,2010,Bullhead City,43,people,high
S2401_C01_007E,American Community Survey,Income,Computer and mathematical occupations,,2010,AZ,67306,people,high
S2401_C01_007E,American Community Survey,Income,Computer and mathematical occupations,,2010,US,3434537,people,high
S2401_C01_007E,American Community Survey,Income,Computer and mathematical occupations,,2011,Bullhead City,29,people,high
S2401_C01_007E,American Community Survey,Income,Computer and mathematical occupations,,2011,AZ,68766,people,high
S2401_C01_007E,American Community Survey,Income,Computer and mathematical occupations,,2011,US,3499354,people,high
S2401_C01_007E,American Community Survey,Income,Computer and mathematical occupations,,2012,Bullhead City,27,people,high
S2401_C01_007E,American Community Survey,Income,Computer and mathematical occupations,,2012,AZ,71819,people,high
S2401_C01_007E,American Community Survey,Income,Computer and mathematical occupations,,2012,US,3571107,people,high
S2401_C01_007E,American Community Survey,Income,Computer and mathematical occupations,,2013,Bullhead City,54,people,high
S2401_C01_007E,American Community Survey,Income,Computer and mathematical occupations,,2013,AZ,74355,people,high
S2401_C01_007E,American Community Survey,Income,Computer and mathematical occupations,,2013,US,3649146,people,high
S2401_C01_007E,American Community Survey,Income,Computer and mathematical occupations,,2014,Bullhead City,63,people,high
S2401_C01_007E,American Community Survey,Income,Computer and mathematical occupations,,2014,AZ,75072,people,high
S2401_C01_007E,American Community Survey,Income,Computer and mathematical occupations,,2014,US,3779411,people,high
S2401_C01_007E,American Community Survey,Income,Computer and mathematical occupations,,2015,Bullhead City,60,people,high
S2401_C01_007E,American Community Survey,Income,Computer and mathematical occupations,,2015,AZ,76612,people,high
S2401_C01_007E,American Community Survey,Income,Computer and mathematical occupations,,2015,US,3950741,people,high
S2401_C01_007E,American Community Survey,Income,Computer and mathematical occupations,,2016,Bullhead City,81,people,high
S2401_C01_007E,American Community Survey,Income,Computer and mathematical occupations,,2016,AZ,80297,people,high
S2401_C01_007E,American Community Survey,Income,Computer and mathematical occupations,,2016,US,4130533,people,high
S2401_C01_007E,American Community Survey,Income,Computer and mathematical occupations,,2017,Bullhead City,105,people,high
S2401_C01_007E,American Community Survey,Income,Computer and mathematical occupations,,2017,AZ,82052,people,high
S2401_C01_007E,American Community Survey,Income,Computer and mathematical occupations,,2017,US,4337289,people,high
S2401_C01_007E,American Community Survey,Income,Computer and mathematical occupations,,2018,Bullhead City,91,people,high
S2401_C01_007E,American Community Survey,Income,Computer and mathematical occupations,,2018,AZ,88203,people,high
S2401_C01_007E,American Community Survey,Income,Computer and mathematical occupations,,2018,US,4633860,people,high
S2401_C01_008E,American Community Survey,Income,Architecture and engineering occupations,,2010,Bullhead City,112,people,high
S2401_C01_008E,American Community Survey,Income,Architecture and engineering occupations,,2010,AZ,61691,people,high
S2401_C01_008E,American Community Survey,Income,Architecture and engineering occupations,,2010,US,2697562,people,high
S2401_C01_008E,American Community Survey,Income,Architecture and engineering occupations,,2011,Bullhead City,203,people,high
S2401_C01_008E,American Community Survey,Income,Architecture and engineering occupations,,2011,AZ,60540,people,high
S2401_C01_008E,American Community Survey,Income,Architecture and engineering occupations,,2011,US,2671731,people,high
S2401_C01_008E,American Community Survey,Income,Architecture and engineering occupations,,2012,Bullhead City,153,people,high
S2401_C01_008E,American Community Survey,Income,Architecture and engineering occupations,,2012,AZ,59218,people,high
S2401_C01_008E,American Community Survey,Income,Architecture and engineering occupations,,2012,US,2640485,people,high
S2401_C01_008E,American Community Survey,Income,Architecture and engineering occupations,,2013,Bullhead City,132,people,high
S2401_C01_008E,American Community Survey,Income,Architecture and engineering occupations,,2013,AZ,57982,people,high
S2401_C01_008E,American Community Survey,Income,Architecture and engineering occupations,,2013,US,2606225,people,high
S2401_C01_008E,American Community Survey,Income,Architecture and engineering occupations,,2014,Bullhead City,149,people,high
S2401_C01_008E,American Community Survey,Income,Architecture and engineering occupations,,2014,AZ,56569,people,high
S2401_C01_008E,American Community Survey,Income,Architecture and engineering occupations,,2014,US,2620119,people,high
S2401_C01_008E,American Community Survey,Income,Architecture and engineering occupations,,2015,Bullhead City,131,people,high
S2401_C01_008E,American Community Survey,Income,Architecture and engineering occupations,,2015,AZ,56246,people,high
S2401_C01_008E,American Community Survey,Income,Architecture and engineering occupations,,2015,US,2660852,people,high
S2401_C01_008E,American Community Survey,Income,Architecture and engineering occupations,,2016,Bullhead City,75,people,high
S2401_C01_008E,American Community Survey,Income,Architecture and engineering occupations,,2016,AZ,56273,people,high
S2401_C01_008E,American Community Survey,Income,Architecture and engineering occupations,,2016,US,2707634,people,high
S2401_C01_008E,American Community Survey,Income,Architecture and engineering occupations,,2017,Bullhead City,73,people,high
S2401_C01_008E,American Community Survey,Income,Architecture and engineering occupations,,2017,AZ,57852,people,high
S2401_C01_008E,American Community Survey,Income,Architecture and engineering occupations,,2017,US,2768696,people,high
S2401_C01_008E,American Community Survey,Income,Architecture and engineering occupations,,2018,Bullhead City,52,people,high
S2401_C01_008E,American Community Survey,Income,Architecture and engineering occupations,,2018,AZ,59871,people,high
S2401_C01_008E,American Community Survey,Income,Architecture and engineering occupations,,2018,US,2822111,people,high
S2401_C01_009E,American Community Survey,Income,"Life, physical, and social science occupations",,2010,Bullhead City,80,people,high
S2401_C01_009E,American Community Survey,Income,"Life, physical, and social science occupations",,2010,AZ,16708,people,high
S2401_C01_009E,American Community Survey,Income,"Life, physical, and social science occupations",,2010,US,1197806,people,high
S2401_C01_009E,American Community Survey,Income,"Life, physical, and social science occupations",,2011,Bullhead City,78,people,high
S2401_C01_009E,American Community Survey,Income,"Life, physical, and social science occupations",,2011,AZ,17216,people,high
S2401_C01_009E,American Community Survey,Income,"Life, physical, and social science occupations",,2011,US,1212884,people,high
S2401_C01_009E,American Community Survey,Income,"Life, physical, and social science occupations",,2012,Bullhead City,103,people,high
S2401_C01_009E,American Community Survey,Income,"Life, physical, and social science occupations",,2012,AZ,17604,people,high
S2401_C01_009E,American Community Survey,Income,"Life, physical, and social science occupations",,2012,US,1232701,people,high
S2401_C01_009E,American Community Survey,Income,"Life, physical, and social science occupations",,2013,Bullhead City,101,people,high
S2401_C01_009E,American Community Survey,Income,"Life, physical, and social science occupations",,2013,AZ,18186,people,high
S2401_C01_009E,American Community Survey,Income,"Life, physical, and social science occupations",,2013,US,1244366,people,high
S2401_C01_009E,American Community Survey,Income,"Life, physical, and social science occupations",,2014,Bullhead City,58,people,high
S2401_C01_009E,American Community Survey,Income,"Life, physical, and social science occupations",,2014,AZ,19111,people,high
S2401_C01_009E,American Community Survey,Income,"Life, physical, and social science occupations",,2014,US,1260931,people,high
S2401_C01_009E,American Community Survey,Income,"Life, physical, and social science occupations",,2015,Bullhead City,49,people,high
S2401_C01_009E,American Community Survey,Income,"Life, physical, and social science occupations",,2015,AZ,19205,people,high
S2401_C01_009E,American Community Survey,Income,"Life, physical, and social science occupations",,2015,US,1279657,people,high
S2401_C01_009E,American Community Survey,Income,"Life, physical, and social science occupations",,2016,Bullhead City,54,people,high
S2401_C01_009E,American Community Survey,Income,"Life, physical, and social science occupations",,2016,AZ,18780,people,high
S2401_C01_009E,American Community Survey,Income,"Life, physical, and social science occupations",,2016,US,1295753,people,high
S2401_C01_009E,American Community Survey,Income,"Life, physical, and social science occupations",,2017,Bullhead City,37,people,high
S2401_C01_009E,American Community Survey,Income,"Life, physical, and social science occupations",,2017,AZ,19570,people,high
S2401_C01_009E,American Community Survey,Income,"Life, physical, and social science occupations",,2017,US,1321432,people,high
S2401_C01_009E,American Community Survey,Income,"Life, physical, and social science occupations",,2018,Bullhead City,29,people,high
S2401_C01_009E,American Community Survey,Income,"Life, physical, and social science occupations",,2018,AZ,21495,people,high
